Rank	Count	ID	Name	Description			Group			
14	37	gb	NC_002695	-	1737553-1737967	ARO:3000676	Multidrug efflux pump	H-NS	H-NS	"H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE, mdtE, and emrK as well as nearby genes of many RND-type multidrug exporters."
15	37	gb	AP009048	-	4153663-4154296	ARO:3000518	Multidrug efflux pump	CRP	CRP	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.
16	37	gb	JQ727667	+	0-870	ARO:3000825	Multidrug efflux pump	robA	robA	"robA is a positive regulator for the acrAB efflux genes, and is structurally similar to SoxS and MarA."
17	36	gb	U00096	-	4567286-4568519	ARO:3001214	Multidrug efflux pump	mdtM	mdtM	Multidrug resistance protein MdtM
18	36	gb	NC_002695	-	4903561-4904935	ARO:3000830	Multidrug efflux pump	cpxA	cpxA	"CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR, which promotes efflux complex expression."
19	36	gb	NC_007779	-	1115840-1117067	ARO:3001329	Multidrug efflux pump	mdtG	mdtG	Efflux protien mdtG.
20	35	gb	U00096	-	1124117-1125326	ARO:3001216	Fluoroquinolone resistance	mdtH	mdtH	Multidrug resistance protein MdtH
21	34	gb	U00096	-	3203309-3204131	ARO:3002986	Bacitracin resistance	bacA	bacA	bacA is a gene that recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin
22	34	gb	FJ768952	+	0-1488	ARO:3000237	Multidrug efflux pump	tolC	tolC	TolC is a protein subunit of many multidrug efflux complexes in Gram negative bacteria. It is an outer membrane efflux protein and is constitutively open. Regulation of efflux activity is often at its periplasmic entrance by other components of the efflux complex.
23	33	gb	AJ252200	+	1278-4401	ARO:3003056	Multidrug efflux pump	smeE	smeE	smeE is the RND protein of the efflux complex smeDEF in Stenotrophomonas maltophilia
24	32	gb	NC_000913.3	+	1333854-1334829	ARO:3003840	Aminocoumarin resistance	aminocoumarin	aminocoumarin resistant cysB	"Positive regulator of gene expression in the cysteine regulon. cysB mutants confer resistance to novobiocin, an aminocoumarin antibiotic, in Escherichia coli."
25	31	gb	KP143090	-	1199-1619	ARO:3003209	fosfomycin resistance	FosA5	FosA5	"fosA5 is a fosfomycin resistance gene isolated from clinical strain of Escherichia coli E265. It is susceptible to amikacin, tetracycline and imipenem, and resistant to sulphonamide, cephalosporins, gentamicin, ciprofloxacin, chloramphenicol and streptomycin"
26	31	gb	U00096	+	2158385-2161463	ARO:3000794	Aminocoumarin resistance	mdtC	mdtC	"MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB, MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity."
27	31	gb	JQ394987	+	0-1233	ARO:3001328	Multidrug efflux pump	mdfA	mdfA	Multidrug translocase MdfA
28	31	gb	U00096	+	3891614-3892790	ARO:3001215	Multidrug efflux pump	mdtL	mdtL	Multidrug resistance protein MdtL
29	28	gb	U00096	+	2367070-2368039	ARO:3003578	polymyxin resistance	PmrF	PmrF	"PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A, which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin"
30	27	gb	NC_010378.1	+	46651-47827	ARO:3003922	Multidrug efflux pump	oqxA	oqxA	RND efflux pump conferring resistance to fluoroquinolone
31	27	gb	NC_000913.3	-	721055-721733	ARO:3003841	Aminoglycoside resistance	kdpE	kdpE	kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.
32	26	gb	NC_000913.3	+	84367-85312	ARO:3003843	Multidrug efflux pump	leuO	leuO	"leuO, a LysR family transcription factor, exists in a wide variety of bacteria of the family Enterobacteriaceae and is involved in the regulation of as yet unidentified genes affecting the stress response and pathogenesis expression."
33	26	gb	U00096	+	2161463-2162879	ARO:3001330	Multidrug efflux pump	mdtD	mdtD	Efflux pump mdtD
34	26	gb	NC_002516.2	+	3982020-3984009	ARO:3002985	polymyxin resistance	arnA	arnA	arnA modifies lipid A with 4-amino-4-deoxy-L-arabinose (Ara4N) which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. arnA is found in E. coli and P. aeruginosa.
35	25	gb	U00096	-	2098446-2099613	ARO:3003577	polymyxin resistance	PmrE	PmrE	"PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A, which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin"
36	25	gb	AP009048	-	4338624-4340268	ARO:3003576	polymyxin resistance	PmrC	PmrC	"PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine, resulting in a less negative cell membrane and decreased binding of polymyxin B."
37	25	gb	CP014358.1	-	2161325-2162750	ARO:3001327	Multidrug efflux pump	mdtK	mdtK	"A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin, doxorubicin and acriflavine."
38	25	gb	L36601	+	1420-3130	ARO:3003036	Macrolide resistance	oleB	oleB	oleB is an ABC transporter in Streptomyces antibioticus and is involved in oleandomycin secretion
39	24	gb	U46859	-	22365-24057	ARO:3003049	Multidrug efflux pump	rosB	rosB	rosB is a potassium antiporter in Yersinia that confers resistance to cationic antimicrobial peptides such as polymyxin B
40	23	gb	L11616	+	1569-4710	ARO:3000378	Multidrug efflux pump	mexB	mexB	MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.
41	22	gb	AF173226	-	351-1041	ARO:3003066	Multidrug efflux pump	smeR	smeR	smeR is the responder component of a two component signal transduction system that includes smeS
42	22	gb	M80346	+	0-1656	ARO:3002817	Macrolide resistance	carA	carA	carA is an ABC transporter involved in macrolide resistance. It is found in Streptomyces thermotolerans
43	22	gb	JQ727668	+	0-375	ARO:3000823	Multidrug efflux pump	ramA	ramA	"RamA (""resistance antibiotic multiple"") is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae, Salmonella enterica, and Enterobacter aerugenes, increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression."
44	21	gb	AB219524.1	+	1176-4338	ARO:3003699	Multidrug efflux pump	mexQ	mexQ	MexQ is the inner membrane transporter of the multidrug efflux pump MexPQ-OpmE.
45	21	gb	AF235050.4	+	38028-40140	ARO:3003318	Aminocoumarin resistance	Streptomyces	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	point mutation on the Streptomyces rishiriensis parY resulting in aminocoumarin resistance
46	19	gb	U00096	+	2368038-2370021	ARO:3002985	polymyxin resistance	arnA	arnA	arnA modifies lipid A with 4-amino-4-deoxy-L-arabinose (Ara4N) which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. arnA is found in E. coli and P. aeruginosa.
47	19	gb	U00096	+	3413863-3415021	ARO:3000499	Multidrug efflux pump	acrE	acrE	"AcrE is a membrane fusion protein, similar to AcrA."
48	19	gb	U00096	+	2154015-2155263	ARO:3000792	Aminocoumarin resistance	mdtA	mdtA	MdtA is the membrane fusion protein of the multidrug efflux complex mdtABC.
49	19	gb	AP009048	-	4306556-4307588	ARO:3003548	Multidrug efflux pump	mdtN	mdtN	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride."
50	19	gb	NC_007779	+	1621287-1621671	ARO:3000263	Multidrug efflux pump	marA	marA	"In the presence of antibiotic stress, E. coli overexpresses the global activator protein MarA, which besides inducing MDR efflux pump AcrAB, also down- regulates synthesis of the porin OmpF."
51	18	gb	X63451	+	0-1653	ARO:3002828	Macrolide resistance	srmB	srmB	srmB is an efflux pump found in Streptomyces ambofaciens that confers resistance to spiramycin
52	18	gb	NC_003197	-	2039657-2040380	ARO:3000826	Multidrug efflux pump	sdiA	sdiA	"SdiA is a cell division regulator that is also a positive regulator of AcrAB only when it's expressed from a plasmid. When the sdiA gene is on the chromosome, it has no effect on expression of acrAB"
53	18	gb	NC_007779	+	2166412-2167135	ARO:3000828	Multidrug efflux pump	baeR	baeR	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.
54	17	gb	NC_002516.2	+	179521-182569	ARO:3003681	Multidrug efflux pump	TriC	TriC	"TriC is a resistance nodulation cell division (RND) transporter that is a part of TriABC-OpmH, a triclosan-specific efflux protein."
55	17	gb	M57437	+	0-1647	ARO:3002827	Multidrug efflux pump	tlrC	tlrC	"tlrC is an efflux pump found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. tlrC is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide."
56	17	gb	AF173226	+	3767-6917	ARO:3003052	Multidrug efflux pump	smeB	smeB	smeB is the inner membrane multidrug exporter of the efflux complex smeABC in Stenotrophomonas maltophilia
57	17	gb	NC_002695	+	3211891-3212506	ARO:3000832	Multidrug efflux pump	evgA	evgA	"EvgA, when phosphorylated, is a positive regulator for efflux protein complexes emrKY and mdtEF. While usually phosphorylated in a EvgS dependent manner, it can be phosphorylated in the absence of EvgS when overexpressed."
58	16	gb	AE004091.2	-	4116187-4119265	ARO:3003693	Multidrug efflux pump	mexK	mexK	mexK is the inner membrane resistance-nodulation-cell division (RND) transporter in the MexJK multidrug efflux protein.
59	15	gb	NC_002516	-	2208168-2211306	ARO:3002983	Aminoglycoside resistance	amrB	amrB	amrB is the membrane fusion protein of the AmrAB-OprM multidrug efflux complex.
60	15	gb	NC_000913.3	+	2810769-2811300	ARO:3000516	Fluoroquinolone resistance	emrR	emrR	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.
61	13	gb	DQ679966	+	299-1493	ARO:3000207	Multidrug efflux pump	acrA	acrA	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrA represents the periplasmic portion of the transport protein.
62	13	gb	NC_007779	-	4336858-4337950	ARO:3003583	polymyxin resistance	PmrB	PmrB	Histidine protein kinase sensor Lipid A modification gene; part of a two-component system involved in polymyxin resistance that senses high extracellular Fe(2+)
63	12	gb	AP009048	+	2165012-2166416	ARO:3000829	Multidrug efflux pump	baeS	baeS	"BaeS is a sensor kinase in the BaeSR regulatory system. While it phosphorylates BaeR to increase its activity, BaeS is not necessary for overexpressed BaeR to confer resistance."
64	12	gb	CP012901.1	-	5979156-5980365	ARO:3003801	Multidrug efflux pump	bcr1	bcr-1	"Transmembrane protein which expels bicyclomycin from the cell, leading to bicyclomycin resistance. Identified in Pseudomonas aeruginosa strains responsible for outbreaks in Brazil, often appearing with blaSPM-1, another bicyclomycin resistance gene"
65	11	gb	NC_002516	+	4707534-4710624	ARO:3000808	Multidrug efflux pump	mexI	mexI	MexI is the inner membrane transporter of the efflux complex MexGHI-OpmD.
66	11	gb	AB061440	-	305-770	ARO:3002870	tetracycline resistance	tet34	tet34	"tet34 causes the activation of Mg2+-dependent purine nucleotide synthesis, which protects the protein synthesis pathway. It is found in Gram-negative Vibrio"
67	11	gb	NC_003197	-	393892-397060	ARO:3000790	Multidrug efflux pump	mdsB	mdsB	MdsB is the inner membrane transporter of the multidrug and metal efflux complex MdsABC.
68	11	gb	AP009048	+	2810082-2811255	ARO:3000027	Fluoroquinolone resistance	emrA	emrA	"EmrA is a membrane fusion protein, providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli, a Gram-negative bacterium."
69	10	gb	U46859	-	24294-25527	ARO:3003048	polymyxin resistance	rosA	rosA	rosA is an efflux pump in Yersinia that confers resistance to cationic antimicrobial peptides such as polymyxin B
70	10	gb	NC_002695	-	4904931-4905630	ARO:3000831	Multidrug efflux pump	cpxR	cpxR	"CpxR is a regulator that promotes acrD expression when phosphorylated by a cascade involving CpxA, a sensor kinase."
71	10	gb	NC_002516	+	2810008-2813197	ARO:3000804	Multidrug efflux pump	mexF	mexF	MexF is the multidrug inner membrane transporter of the MexEF-OprN complex.
72	9	gb	AF170880	+	0-1848	ARO:3002522	Aminocoumarin resistance	novA	novA	"A type III ABC transporter, identified on the novobiocin biosynthetic gene cluster, involved in the transport and resistance of novobiocin."
73	9	gb	U57969	+	4622-6062	ARO:3000802	Multidrug efflux pump	oprJ	oprJ	OprJ is the outer membrane channel component of the MexCD-OprJ multidrug efflux complex.
74	9	gb	NC_014638	-	1610636-1613960	ARO:3003730	Mupirocin resistance	Bifidobacteria	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.
75	8	gb	AB219523.1	+	1175-4286	ARO:3003705	Multidrug efflux pump	mexN	mexN	MexN is the inner membrane transporter of the MexMN-OprM multidrug efflux complex.
76	8	gb	NC_002516.2	+	4904646-4907703	ARO:3003031	Multidrug efflux pump	mexW	mexW	MexW is the RND-type membrane protein of the efflux complex MexVW-OprM.
77	8	gb	JQ064560	+	0-1536	ARO:3000448	Fluoroquinolone resistance	qepA	qepA	"QepA is a plasmid-mediated fluoroquinolone efflux pump found in E. coli. It is regulated by sox genes, also known as global stress regulators."
78	8	gb	NC_002516	-	5151077-5154209	ARO:3000801	Multidrug efflux pump	mexD	mexD	MexD is the multidrug inner membrane transporter of the MexCD-OprJ complex.
79	7	gb	AP009048	-	4303042-4304509	ARO:3003550	Multidrug efflux pump	mdtP	mdtP	"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride"
80	7	gb	NC_002516	+	476332-477790	ARO:3000379	Multidrug efflux pump	oprM	oprM	"OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM, MexVW-OprM, MexXY-OprM and the AmrAB-OprM complex."
81	7	gb	M11587	+	879-1533	ARO:3002670	chloramphenicol resistance	cat	cat	"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum"
82	7	gb	AJ252200	+	4493-5894	ARO:3003057	Multidrug efflux pump	smeF	smeF	smeF is an outer membrane multidrug efflux protein of the smeDEF complex in Stenotrophomonas maltophilia
83	6	gb	NC_000913.3	+	484425-485619	ARO:3000207	Multidrug efflux pump	acrA	acrA	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrA represents the periplasmic portion of the transport protein.
84	6	gb	U00096	+	3660413-3663527	ARO:3000796	Multidrug efflux pump	mdtF	mdtF	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.
85	6	gb	AF038993	+	0-1197	ARO:3000177	tetracycline resistance	tetJ	tetJ	"TetJ is a tetracycline efflux protein expressed in Gram-negative bacteria (Escherichia, Morganella, and Proteus)."
86	6	gb	NC_010410	-	3621491-3622283	ARO:3002601	Aminoglycoside resistance	aadA	aadA	"ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids, transposons, integrons in Enterobacteriaceae, A. baumannii, P. aeruginosa and Vibrio cholerae"
87	5	gb	AF079900	+	39-1731	ARO:3002892	tetracycline resistance	otrB	otrB	otrB is a tetracycline resistance efflux pump found in Streptomyces rimosus
88	5	gb	LN515533	+	0-867	ARO:3003154	Beta-lactamase	SHV-187	SHV-187	From the Lahey list of beta-lactamases.
89	5	gb	NC_002516	+	4710620-4712084	ARO:3000809	Multidrug efflux pump	opmD	opmD	OpmD is the outer membrane channel protein of the efflux complex MexGHI-OpmD.
90	5	gb	AF441286	+	224-965	ARO:3000843	Beta-lactamase	MUS-1	MUS-1 beta-lactamase	MUS-1 is a chromosome-encoded beta-lactamase from Myroides odoratus and Myroides odoratimimus.
91	5	gb	D38215	+	0-1539	ARO:3002893	tetracycline resistance	tcr3	tcr3	tcr3 is a tetracycline efflux pump that confers self-resistance to Streptomyces aureofaciens
92	4	gb	KC539823	+	1017-2586	ARO:3002829	Multidrug efflux pump	vgaA	vgaA	vgaA is an efflux protein expressed in staphylococci that confers resistance to streptogramin A antibiotics and related compounds. It is associated with plasmid DNA.
93	4	gb	X53401	+	0-1992	ARO:3002891	tetracycline resistance	otrA	otrA	otrA is an oxytetracycline resistance ribosomal protection protein found in Streptomyces rimosus
94	4	gb	KF478993	+	1539-2580	ARO:3002913	Vancomycin resistance	vanO	vanO	"VanO is a D-Ala-D-Ala ligase homolog that can synthesize D-Ala-D-Lac, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is associated with both vancomycin and teicoplanin resistance."
95	4	gb	AB639410	+	0-1404	ARO:3003039	Multidrug efflux pump	oprA	oprA	OprA is an outer membrane factor protein found in Pseudomonas aeruginosa. It is part of the MexXY-OprA complex.
96	4	gb	KJ151292	+	294-2892	ARO:3000444	rifampin resistance	rifampin	rifampin phosphotransferase	The enzymatic inactivation of rifampin by phosphorylation at the 21-OH position.
97	4	gb	U97042	+	1263-4347	ARO:3003010	Multidrug efflux pump	ceoB	ceoB	ceoB is a cytoplasmic membrane component of the CeoAB-OpcM efflux pump
98	4	gb	KP109676	+	0-1026	ARO:3003718	Beta-lactamase	MSI-1	MSI-1	MSI-1 is a subclass B3 metallo-beta lactamase isolated from Massilia oculi conferring resistance to carbapenems.
99	3	gb	U38944.1	+	0-1536	ARO:3003037	Multidrug efflux pump	opcM	opcM	OpcM is an outer membrane factor protein found in Burkholderia cepacia. It is part of the CeoAB-OpcM complex.
100	3	gb	U00096	+	2484373-2487967	ARO:3000833	Multidrug efflux pump	evgS	evgS	EvgS is a sensor protein that phosphorylates the regulatory protein EvgA.
101	3	gb	JX121119	+	0-858	ARO:3001191	Beta-lactamase	SHV-152	SHV-152	SHV-152 is a beta-lactamase.
102	3	gb	Y00459	+	2824-3748	ARO:3002657	Aminoglycoside resistance	APH(6)-Ia	APH(6)-Ia	APH(6)-Ia is a chromosomal-encoded aminoglycoside phosphotransferase in S. griseus
103	3	gb	AY154657	+	0-1161	ARO:3000601	Macrolide resistance	Erm(38)	Erm(38)	ErmD confers MLSb phenotype.
104	3	gb	NC_002516	+	2813193-2814612	ARO:3000805	Multidrug efflux pump	oprN	oprN	OprN is the outer membrane channel component of the MexEF-OprN multidrug efflux complex.
105	3	gb	HQ433550	+	0-1020	ARO:3000813	Multidrug efflux pump	mexS	mexS	"MexS is a suppressor of MexT, which is an activator of the multidrug pump MexEF-OprN. Mutations in MexS lead to multidrug resistance."
106	3	gb	BX664015	-	204137-204554	ARO:3000168	tetracycline resistance	tetD	tetD	TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.
107	3	gb	AJ252200	+	81-1266	ARO:3003055	Multidrug efflux pump	smeD	smeD	smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia
108	3	gb	JYFL01000006.1	-	112069-113503	ARO:3002813	Lincosamide resistance	lmrB	lmrB	lmrB is a chromosomally-encoded efflux pump that confers resistance to lincosamides in Bacillus subtilis
109	3	gb	AY264780	-	1824-3006	ARO:3000569	tetracycline resistance	tet41	tet41	"Tet41 is a tetracycline efflux pump found in Serratia, a Gram-negative bacterium.  It is related to Acinetobacter Tet(39)."
110	3	gb	Z30177	+	348-1224	ARO:3002389	Beta-lactamase	OXY-1-1	OXY-1-1	OXY-1-1 is a beta-lactamase found in Klebsiella oxytoca
111	3	gb	U00096	-	3412802-3413465	ARO:3000656	Multidrug efflux pump	acrS	acrS	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.
112	3	gb	JQ768046	+	7760-9440	ARO:3001313	elfamycin resistance	facT	facT	"Efflux protein facT confers resistance to factumycin. The gene has been heterologously expressed in S. coelicolor and its function was confirmed (Thaker et al. Med. Chem. Commun. 2012, 3: 1020). It is possible that this gene can efflux other kirromycin-like elfamycins, but this has not been tested."
113	3	gb	EU999036	+	688-1390	ARO:3002934	Glycopeptide resistance	vanSD	vanSD	vanSD is a mutated vanS variant found in the vanD gene cluster that caused constitutive expression of vanD peptidoglycan synthesis
114	3	gb	AY079099	+	148-1009	ARO:3001096	AMR genes detected in K.pneumoniae	SHV-38	SHV-38	SHV-38 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.
115	3	gb	NC_002516.2	+	178454-179525	ARO:3003680	Multidrug efflux pump	TriB	TriB	TriB is a membrane protein that is fused to TriA and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.
116	3	gb	AB765395	+	0-1143	ARO:3002993	Beta-lactamase	AQU-1	AQU-1	AQU-1 is a chromosomal class C beta-lactamase found in clinical Aeromonas dhakensis isolates
117	3	gb	AJ005045	+	0-876	ARO:3001870	Beta-lactamase	CTX-M-7	CTX-M-7	CTX-M-7 is a beta-lactamase found in Salmonella typhimurium
118	3	gb	GQ244501	-	59-1619	ARO:3000573	tetracycline resistance	tet43	tet43	"Tet(43) is a tetracycline resistance gene with unknown origins, isolated from metagenomic DNA."
119	3	gb	AM176558	+	0-861	ARO:3001137	AMR genes detected in K.pneumoniae	SHV-83	SHV-83	SHV-83 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.
120	3	gb	AY768531	+	0-1179	ARO:3000533	Macrolide resistance	macA	macA	MacA is a membrane fusion protein that forms an antibiotic efflux complex with MacB and TolC.
121	2	gb	AY661734.1	+	839-2195	ARO:3000026	Multidrug efflux pump	mepA	mepA	"MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in Staphylococcus aureus led to multidrug resistance, while it has also been shown to decrease tigecycline susceptibility."
122	2	gb	M28303	+	242-1187	ARO:3003564	Beta-lactamase	EXO	EXO beta-lactamase	Class A beta-lactamase found in Streptomyces albus G
123	2	gb	AY077483	+	182-1055	ARO:3002392	Beta-lactamase	OXY-1-4	OXY-1-4	OXY-1-4 is a beta-lactamase found in Klebsiella oxytoca
124	2	gb	AY587982	+	309-1806	ARO:3000300	Multidrug efflux pump	lsaA	lsaA	"LsaA is an ABC efflux pump expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin."
125	2	gb	NC_002516.2	+	177306-178458	ARO:3003679	triclosan resistance	TriA	TriA	TriA is a membrane protein that is fused to TriB and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.
126	2	gb	FJ872411	+	43513-44203	ARO:3002924	Glycopeptide resistance	vanRE	vanRE	vanRE is a vanR variant found in the vanE gene cluster
127	2	gb	AE014292	+	568280-570923	ARO:3003772	defensin resistance	Brucella	Brucella suis mprF	"MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins."
128	2	gb	KF478993	-	6002-6704	ARO:3002930	Glycopeptide resistance	vanRO	vanRO	vanRO is a vanR variant found in the vanO gene cluster
129	2	gb	D37826	+	1070-2195	ARO:3002812	chloramphenicol resistance	pp-flo	pp-flo	pp-flo is a plasmid chloramphenicol exporter that is found in Photobacterium damselae subsp. piscicida
130	2	gb	AY509111	+	0-1056	ARO:3002894	tetracycline resistance	otrC	otrC	otrC is a tetracycline resistance efflux pump found in Streptomyces rimosus
131	2	gb	AY423074	+	0-858	ARO:3001792	Beta-lactamase	OXA-62	OXA-62	OXA-62 is a beta-lactamase found in Pandoraea pnomenusa
132	2	gb	KC693025	+	0-1626	ARO:3003749	Multidrug efflux pump	salA	salA	salA is an ABC transporter gene isolated from the chromosome of Staphylococcus sciuri conferring resistance to lincosamides and streptogramins.
133	2	gb	FJ666070	+	0-1194	ARO:3002506	Beta-lactamase	PDC-7	PDC-7	PDC-7 is a extended-spectrum beta-lactamase found in Pseudomonas aeruginosa.
134	2	gb	M14039	+	0-486	ARO:3000272	Lincosamide resistance	linA	linA	"LinA and variants LnuC, LnuD are similar to aminoglycoside nucleotidylyl transferases (ANTs)"
135	2	gb	HM990671	+	5192-6671	ARO:3003112	Multidrug efflux pump	lsaC	lsaC	"LsaC is an ABC efflux pump expressed in Streptococcus agalactiae. It confers resistance to lincomycin, clindamycin, dalfopristin, and tiamulin"
136	2	gb	L06249	+	1527-2505	ARO:3003748	Macrolide resistance	oleC	oleC	oleC is an ABC transporter isolated from Streptomyces antibioticus and is involved in oleandomycin secretion.
